Ticker;ISIN;Name;TER (%);Distribution;Replication;Fund size (in m €);2024 (%)
SXR8;IE00B5BMR087;iShares Core S&P 500 UCITS ETF USD (Acc);0.07;Accumulating;Full replication;104545;32.62
EUNL;IE00B4L5Y983;iShares Core MSCI World UCITS ETF USD (Acc);0.2;Accumulating;Optimized sampling;92879;26.24
VUSA;IE00B3XXRP09;Vanguard S&P 500 UCITS ETF (USD) Distributing;0.07;Distributing;Full replication;42843;32.62
P500;IE00B3YCGJ38;Invesco S&P 500 UCITS ETF;0.05;Accumulating;Swap based;28637;32.86
IS3N;IE00BKM4GZ66;iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc);0.18;Accumulating;Full replication;21810;14.04
VUAA;IE00BFMXXD54;Vanguard S&P 500 UCITS ETF (USD) Accumulating;0.07;Accumulating;Full replication;19475;32.61
PPFB;IE00B4ND3602;iShares Physical Gold ETC;0.12;Accumulating;Physically backed;18219;34.47
8PSG;IE00B579F325;Invesco Physical Gold A;0.12;Accumulating;Physically backed;17881;34.49
IUSA;IE0031442068;iShares Core S&P 500 UCITS ETF USD (Dist);0.07;Distributing;Full replication;17607;32.6
VWCE;IE00BK5BQT80;Vanguard FTSE All-World UCITS ETF (USD) Accumulating;0.22;Accumulating;Optimized sampling;17451;24.65
IUSQ;IE00B6R52259;iShares MSCI ACWI UCITS ETF USD (Acc);0.2;Accumulating;Optimized sampling;16961;24.82
VGWL;IE00B3RBWM25;Vanguard FTSE All-World UCITS ETF (USD) Distributing;0.22;Distributing;Optimized sampling;16133;24.65
SXRV;IE00B53SZB19;iShares Nasdaq 100 UCITS ETF (Acc);0.3;Accumulating;Full replication;15759;33.29
4GLD;DE000A0S9GB0;Xetra-Gold;0;Accumulating;Physically backed;15202;34.66
XEON;LU0290358497;Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C;0.1;Accumulating;Swap based;14565;3.79
XDWD;IE00BJ0KDQ92;Xtrackers MSCI World UCITS ETF 1C;0.19;Accumulating;Optimized sampling;14315;26.23
IUSZ;IE0005042456;iShares Core FTSE 100 UCITS ETF GBP (Dist);0.07;Distributing;Full replication;14309;14.82
IBC1;IE00BGSF1X88;iShares USD Treasury Bond 0-1yr UCITS ETF (Acc);0.07;Accumulating;Sampling;13987;11.92
SPY5;IE00B6YX5C33;SPDR S&P 500 UCITS ETF (Dist);0.03;Distributing;Full replication;13177;32.65
LYP7;LU1135865084;Amundi S&P 500 II UCITS ETF Acc;0.05;Accumulating;Swap based;12104;33.23
XDEW;IE00BLNMYC90;Xtrackers S&P 500 Equal Weight UCITS ETF 1C;0.2;Accumulating;Full replication;10981;19.62
H4ZJ;IE00B4X9L533;HSBC MSCI World UCITS ETF USD;0.15;Distributing;Optimized sampling;10882;26.22
JREU;IE00BF4G7076;JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF USD (acc);0.2;Accumulating;Full replication;10399;32.38
SPPW;IE00BFY0GT14;SPDR MSCI World UCITS ETF;0.12;Accumulating;Optimized sampling;10247;26.49
SGAS;IE00BFNM3G45;iShares MSCI USA ESG Screened UCITS ETF USD (Acc);0.07;Accumulating;Full replication;10142;34.26
